UniqueID,Course,Date,Item,Type,Duration_Cleaned,Week,duration_hours
10568,NCLEX_335,,On-campus_session,Lecture,3:00:00,,3.0
10569,NCLEX_335,,Attestation_Quiz,Assignment,,,0.0
10570,NCLEX_335,,Mid-HESI_Registration,Assignment,,,0.0
10571,NCLEX_335,,Nearpod_Activity,Activity,0:15:00,,0.25
10572,NCLEX_335,,Escape-Room_Prioritization,Activity,0:08:00,,0.13333333333333333
10573,NCLEX_335,,On-campus_session,Lecture,2:00:00,,2.0
10574,NCLEX_335,,HESI_Exam_Prep,Assignment,,,0.0
10575,NCLEX_335,,HESI_Health-Assessment_Exam,Exam,2:00:00,,2.0
10576,NCLEX_335,,Coronary_Artery_Disease_Activity,Assignment,,,0.0
10577,NCLEX_335,,COPD_Pneumonia_Activity,Assignment,,,0.0
10578,NCLEX_335,,Reflection_Quiz,Quiz,,,0.0
10579,NCLEX_335,,Quiz_1:_Health_Assessment_Foundations,Quiz,,,0.0
10580,NCLEX_335,,Zoom_session_Module_3:_Nutrition_Wellness,Lecture,3:00:00,,3.0
10581,NCLEX_335,,Memorial_Day,Holiday,,,0.0
10582,NCLEX_335,,Health_Assessment_Remediation_-_Case_Studies,Assignment,,,0.0
10583,NCLEX_335,,Health_Assessment_Remediation_-_Learning_Templates,Assignment,,,0.0
10584,NCLEX_335,,On-campus_session_Quiz_2_HESI_Nutrition_Exam,Lecture,3:00:00,,3.0
10585,NCLEX_335,,Quiz_2:_Health_Promotion_Pharmacology,Quiz,,,0.0
10586,NCLEX_335,,HESI_Exam_Prep:_Nutrition,Assignment,,,0.0
10587,NCLEX_335,,HESI_Nutrition_Exam,Exam,2:00:00,,2.0
10588,NCLEX_335,,Reflection_Quiz,Quiz,,,0.0
10589,NCLEX_335,,Zoom_session_Foundations_module,Lecture,3:00:00,,3.0
10590,NCLEX_335,,HESI_Pharmacology_Exam,Exam,2:00:00,,2.0
10591,NCLEX_335,,ON-CAMPUS_session_High-Fidelity_Simulation,Lecture,3:37:30,,3.625
10592,NCLEX_335,,Pre-simulation_Quiz,Quiz,,,0.0
10593,NCLEX_335,,Post-simulation_Quiz,Quiz,,,0.0
10594,NCLEX_335,,Nutrition_Remediation_-_Case_Studies,Assignment,,,0.0
10595,NCLEX_335,,Nutrition_Remediation_-_Learning_Templates,Assignment,,,0.0
10596,NCLEX_335,,HESI_Fundamentals_Exam,Exam,2:00:00,,2.0
10597,NCLEX_335,,ON-CAMPUS_session,Lecture,3:00:00,,3.0
10598,NCLEX_335,,Quiz_3:_Assessment_Foundations_Pathophysiology,Quiz,,,0.0
10599,NCLEX_335,,HESI_Exam_Prep:_Fundamentals,Assignment,,,0.0
10600,NCLEX_335,,Reflection_Quiz,Quiz,,,0.0
10601,NCLEX_335,,NCLEX_Prep_Module_Review,Review,2:00:00,,2.0
10602,NCLEX_335,,ZOOM_session_Module_5:_Pharmacology,Lecture,3:00:00,,3.0
10603,NCLEX_335,,HESI_Exit_Exam,Exam,2:00:00,,2.0
10604,NCLEX_335,,ZOOM_session_Module_6:_Mental_Health,Lecture,3:00:00,,3.0
10605,NCLEX_335,,Fundamentals_Remediation_-_Case_Studies,Assignment,,,0.0
10606,NCLEX_335,,Fundamentals_Remediation_-_Learning_Templates,Assignment,,,0.0
10607,NCLEX_335,,ON-CAMPUS_session,Lecture,3:00:00,,3.0
10608,NCLEX_335,,Quiz_4:_Mental_Health_Concepts,Quiz,,,0.0
10609,NCLEX_335,,HESI_Exam_Prep:_Mental_Health,Assignment,,,0.0
10610,NCLEX_335,,HESI_Mental_Health_Exam,Exam,2:00:00,,2.0
10611,NCLEX_335,,Reflection_Quiz,Quiz,,,0.0
10612,NCLEX_335,,ON-CAMPUS_session,Lecture,3:00:00,,3.0
