Week,Course,Task_Count,duration_hours,adj_hours
19.0,Adult_310,9,13.700555555555557,16.44066666666667
19.0,Gerontology_315,18,5.283611111111112,5.811972222222224
19.0,NCLEX_335,5,3.3833333333333333,4.736666666666666
19.0,OBGYN_330,23,14.233333333333334,18.503333333333334
20.0,Adult_310,5,7.583333333333334,9.1
20.0,Gerontology_315,11,3.58,3.9380000000000006
20.0,NCLEX_335,7,4.0,5.6
20.0,OBGYN_330,8,16.625,21.6125
21.0,Adult_310,20,8.814444444444444,10.577333333333332
21.0,Gerontology_315,6,2.0,2.2
21.0,NCLEX_335,1,3.0,4.199999999999999
21.0,OBGYN_330,3,12.0,15.600000000000001
22.0,Adult_310,9,14.277222222222225,17.13266666666667
22.0,Gerontology_315,10,3.0,3.3000000000000003
22.0,NCLEX_335,3,0.0,0.0
22.0,OBGYN_330,13,0.8166666666666667,1.0616666666666668
23.0,Adult_310,7,13.880555555555556,16.656666666666666
23.0,Gerontology_315,12,6.135555555555555,6.7491111111111115
23.0,NCLEX_335,5,5.0,7.0
23.0,OBGYN_330,4,13.0,16.900000000000002
24.0,Adult_310,3,12.5,15.0
24.0,Gerontology_315,15,6.6611111111111105,7.327222222222222
24.0,NCLEX_335,2,5.0,7.0
24.0,OBGYN_330,13,16.65,21.645
25.0,Adult_310,13,15.425,18.51
25.0,Gerontology_315,7,8.0,8.8
25.0,NCLEX_335,6,5.625,7.874999999999999
25.0,OBGYN_330,7,13.083333333333334,17.008333333333336
26.0,Adult_310,6,13.583333333333334,16.3
26.0,Gerontology_315,30,12.92027777777778,14.21230555555556
26.0,NCLEX_335,5,5.0,7.0
26.0,OBGYN_330,3,15.0,19.5
27.0,Adult_310,13,21.828611111111112,26.194333333333333
27.0,Gerontology_315,8,6.0,6.6000000000000005
27.0,NCLEX_335,2,5.0,7.0
27.0,OBGYN_330,5,13.25,17.225
28.0,Adult_310,8,15.583333333333334,18.7
28.0,Gerontology_315,8,3.0,3.3000000000000003
28.0,NCLEX_335,3,3.0,4.199999999999999
28.0,OBGYN_330,6,12.266666666666666,15.946666666666665
29.0,Adult_310,13,14.0525,16.863
29.0,Gerontology_315,3,3.0,3.3000000000000003
29.0,NCLEX_335,5,5.0,7.0
29.0,OBGYN_330,2,13.0,16.900000000000002
30.0,Adult_310,17,13.898055555555556,16.677666666666667
30.0,Gerontology_315,1,2.0,2.2
30.0,NCLEX_335,5,5.0,7.0
30.0,OBGYN_330,3,2.0,2.6
31.0,Adult_310,2,2.0,2.4
31.0,Gerontology_315,1,2.0,2.2
31.0,NCLEX_335,4,6.625,9.274999999999999
31.0,OBGYN_330,2,6.125,7.9625
32.0,Adult_310,1,3.0,3.5999999999999996
32.0,NCLEX_335,4,3.0,4.199999999999999
32.0,OBGYN_330,2,2.0,2.6
,Adult_310,1,0.0,0.0
