Course,Type,Task_Count,Hours,With_Duration
Adult_310,Activity,1,0.04111111111111111,1
Adult_310,Assignment,6,0,0
Adult_310,Clinical,10,100.0,10
Adult_310,Exam,5,12.083333333333334,5
Adult_310,Lab,2,8.0,2
Adult_310,Lecture,10,30.83333333333333,10
Adult_310,Quiz,12,0,0
Adult_310,Reading,29,0,0
Adult_310,Simulation,6,8.0,1
Adult_310,Video,46,11.169166666666667,40
Gerontology_315,Assignment,13,0,0
Gerontology_315,Exam,4,8.0,4
Gerontology_315,Lecture,14,42.0,14
Gerontology_315,Quiz,18,0,0
Gerontology_315,Reading,49,0,0
Gerontology_315,Video,32,13.580555555555554,26
NCLEX_335,Activity,2,0.3833333333333333,2
NCLEX_335,Assignment,20,3.625,1
NCLEX_335,Exam,8,17.0,8
NCLEX_335,Holiday,1,0,0
NCLEX_335,Lecture,12,35.625,12
NCLEX_335,Quiz,13,0,0
NCLEX_335,Review,1,2.0,1
OBGYN_330,Assignment,5,0,0
OBGYN_330,Clinical,10,100.0,10
OBGYN_330,Exam,7,14.5,7
OBGYN_330,Lecture,7,21.0,7
OBGYN_330,Quiz,8,0,0
OBGYN_330,Reading,26,0,0
OBGYN_330,Simulation,2,7.25,2
OBGYN_330,Video,29,7.3,29
