Week,Course,Task_Count,Hours
19,Adult_310,9,13.700555555555557
19,Gerontology_315,18,5.283611111111112
19,NCLEX_335,5,3.3833333333333333
19,OBGYN_330,23,14.233333333333334
20,Adult_310,5,7.583333333333334
20,Gerontology_315,11,3.58
20,NCLEX_335,7,4.0
20,OBGYN_330,8,16.625
21,Adult_310,20,8.814444444444444
21,Gerontology_315,6,2.0
21,NCLEX_335,1,3.0
21,OBGYN_330,3,12.0
22,Adult_310,9,14.277222222222223
22,Gerontology_315,10,3.0
22,NCLEX_335,3,0
22,OBGYN_330,13,0.8166666666666667
23,Adult_310,7,13.880555555555556
23,Gerontology_315,12,6.135555555555555
23,NCLEX_335,5,5.0
23,OBGYN_330,4,13.0
24,Adult_310,3,12.5
24,Gerontology_315,15,6.6611111111111105
24,NCLEX_335,2,5.0
24,OBGYN_330,13,16.65
25,Adult_310,13,15.425
25,Gerontology_315,7,8.0
25,NCLEX_335,6,5.625
25,OBGYN_330,7,13.083333333333334
26,Adult_310,6,13.583333333333334
26,Gerontology_315,30,12.920277777777779
26,NCLEX_335,5,5.0
26,OBGYN_330,3,15.0
27,Adult_310,13,21.828611111111112
27,Gerontology_315,8,6.0
27,NCLEX_335,2,5.0
27,OBGYN_330,5,13.25
28,Adult_310,8,15.583333333333334
28,Gerontology_315,8,3.0
28,NCLEX_335,3,3.0
28,OBGYN_330,6,12.266666666666666
29,Adult_310,13,14.0525
29,Gerontology_315,3,3.0
29,NCLEX_335,5,5.0
29,OBGYN_330,2,13.0
30,Adult_310,17,13.898055555555555
30,Gerontology_315,1,2.0
30,NCLEX_335,5,5.0
30,OBGYN_330,3,2.0
31,Adult_310,2,2.0
31,Gerontology_315,1,2.0
31,NCLEX_335,4,6.625
31,OBGYN_330,2,6.125
32,Adult_310,1,3.0
32,NCLEX_335,4,3.0
32,OBGYN_330,2,2.0
,Adult_310,1,0
