Week,mean,std,p5,p95,over_40h_prob,over_20h_prob,lo,hi
19.0,36.49622196805715,6.992689426507377,24.333686836303453,47.56624068505692,0.316,0.99,22.79055069210269,50.20189324401161
20.0,31.90322626070655,6.346802824077744,21.435413542727108,42.917650658624204,0.101,0.972,19.463492725514172,44.34295979589893
21.0,25.840161400099934,4.942875010856033,18.072422001258687,34.18659187514328,0.001,0.884,16.15212637882211,35.52819642137776
22.0,18.007633994837263,3.72808909734576,12.14822934888905,24.55225830153915,0.0,0.293,10.700579364039573,25.314688625634954
23.0,38.066039923226576,7.759890388512282,25.459486940708455,51.208323798553025,0.394,0.991,22.856654761742504,53.27542508471065
24.0,40.749917813556124,8.299387003823652,27.279247326141178,54.7212195285263,0.525,0.994,24.483119286061765,57.01671634105048
25.0,41.82183609562959,8.434037946455677,28.134089039174484,55.37588529844569,0.582,0.995,25.291121720576466,58.352550470682715
26.0,46.78648329793898,9.460794875413146,31.13616347509387,62.62892556966702,0.753,0.997,28.24332534212921,65.32964125374875
27.0,46.331677400212705,9.603185995925573,30.90264571870149,62.67938815435316,0.739,0.996,27.509432848198582,65.15392195222682
28.0,34.04860297163555,6.6105219166388585,23.32359203292076,44.69783687683121,0.176,0.988,21.09198001502339,47.00522592824772
29.0,35.09483629866174,6.934326330924426,23.57762961190336,46.357889912267005,0.239,0.987,21.503556690049862,48.68611590727362
30.0,22.878699174099797,4.581564107025074,15.110733318505448,30.271423399606334,0.0,0.744,13.898833524330652,31.858564823868942
31.0,16.567086322579687,3.344952573923262,10.936283636667417,21.85744327876516,0.0,0.165,10.010979277690094,23.12319336746928
32.0,8.02704956591138,1.5838214020891006,5.488483023389753,10.646470690339754,0.0,0.0,4.922759617816743,11.131339514006017
